ما	ما	ما	 
و	و	و	 
من	من	من	 
بس	بس	بس	 
في	في	في	 
..	. .	..	 
مش	مش	مش	 
اللي	اللي	اللي	 
يا	يا	يا	 
شو	شو	شو	 
ع	ع	ع	 
على	على	على	 
الله	الله	الله	 
عم	عم	عم	 
كل	كل	كل	 
شي	شي	شي	 
،	،	،	 
انو	انو	انو	 
حدا	حد+ا	ح+دا	 
انا	انا	انا	 
لما	ل+ما	لما	 
والله	و+الله	و+الله	 
!	!	!	 
هيك	هي+ك	هي+ك	 
كتير	كتير	كتير	 
الي	الي	الي	 
مع	مع	مع	 
رح	رح	رح	 
!!	! !	!!	 
.	.	.	 
لا	لا	لا	 
يلي	يلي	يلي	 
اذا	اذ+ا	اذا	 
...	. . .	...	 
عن	عن	عن	 
بدي	بدي	ب+دي	 
:	:	:	 
انت	انت	انت	 
فيه	في+ه	في+ه	 
؟	؟	؟	 
وما	و+ما	و+ما	 
انه	ان+ه	ان+ه	 
الناس	ال+ناس	ال+ناس	 
فيك	في+ك	في+ك	 
ليش	ل+يش	ل++ي+ش	 
لي	لي	لي	 
انك	انك	ان+ك	 
اشي	اشي	اشي	 
-	-	-	 
ولا	و+لا	و+لا	 
قبل	قبل	قبل	 
أنا	أنا	أنا	 
احنا	اح+نا	احنا	 
زي	زي	زي	 
لو	لو	لو	 
هي	هي	هي	 
كيف	كيف	كيف	 
معك	مع+ك	مع+ك	 
او	او	او	 
يعني	يعني	يعني	 
راح	راح	راح	 
حلوة	حلو+ة	حلو+ة	 
إذا	إذا	إذا	 
فيها	في+ها	في+ها	 
بعض	بعض	بعض	 
كنت	كن+ت	كن+ت	 
البنت	ال+بنت	ال+بنت	 
بدك	بد+ك	بد+ك	 
ناس	ناس	ناس	 
وانت	وان+ت	و+انت	 
مين	مين	مين	 
هو	هو	هو	 
حتى	حتى	حتى	 
عليه	علي+ه	علي+ه	 
كمان	كمان	كمان	 
واحد	واحد	واحد	 
:)	: )	:)	 
عشان	عشان	عشان	 
لازم	لازم	لازم	 
مشان	مش+ان	مش+ان	 
ب	ب	ب	 
لك	ل+ك	ل+ك	 
اني	اني	ان+ي	 
متل	متل	متل	 
لانو	لانو	لان+و	 
صار	صار	صار	 
قول	قول	قول	 
الا	الا	الا	 
يوم	يوم	يوم	 
مو	مو	مو	 
عنجد	عنجد	ع+نجد	 
اي	اي	اي	 
قلب	قلب	قلب	 
""""	""""	""""	 
انتي	انتي	انتي	 
وين	وين	وين	 
لبنان	لبنان	ل+بن+ان	 
,	,	,	 
الخير	ال+خير	ال+خير	 
مافي	مافي	ما+في	 
بدنا	بدن+ا	ب+دنا	 
علي	علي	علي	 
وقت	وقت	وقت	 
بالي	بالي	بال+ي	 
هاد	هاد	ه+اد	 
ان	ان	ان	 
ساعة	ساع+ة	ساع+ة	 
تكون	تكون	تكون	 
بعرف	ب+عرف	ب+عرف	 
ممكن	ممكن	ممكن	 
هون	هون	هون	 
غير	غير	غير	 
صباح	صباح	صباح	 
نفس	نفس	نفس	 
اليوم	ال+يوم	ال+يوم	 
عنا	عن+ا	عنا	 
بعد	بعد	بعد	 
اول	اول	اول	 
يمكن	يمكن	يمكن	 
حبيت	حبي+ت	حبي+ت	 
طول	طول	طول	 
عليك	علي+ك	علي+ك	 
الصورة	ال+صور+ة	ال+صور+ة	 
الك	الك	الك	 
اكتر	اكتر	اكتر	 
معقول	معقول	معقول	 
ههههههه	ههههههه	ههههههه	 
بكل	ب+كل	ب+كل	 
نص	نص	نص	 
بيوم	ب+يوم	ب+يوم	 
فل	فل	فل	 
بنت	بنت	بنت	 
حب	حب	حب	 
بدون	ب+دون	بدون	 
احلى	احلى	احلى	 
إنو	إنو	إن+و	 
صح	صح	صح	 
عزيزي	عزيزي	عزيزي	 
هيدا	هيدا	هيد+ا	 
ههههههههه	ههههههههه	ههههههههه	 
هاي	هاي	ه+اي	 
بلا	ب+لا	ب+لا	 
يصير	يصير	يصير	 
حرام	حرام	حرام	 
غلط	غلط	غلط	 
البلد	ال+بلد	ال+بلد	 
العالم	ال+عالم	ال+عالم	 
اكيد	اكيد	اكيد	 
شغل	شغل	شغل	 
وهو	و+هو	و+هو	 
كله	كل+ه	كل+ه	 
أي	أي	أي	 
أو	أو	أو	 
السوري	ال+سوري	ال+سوري	 
م	م	م	 
قد	قد	قد	 
>>	> >	أأ	 
وواحد	و+واحد	و+واحد	 
الصبح	ال+صبح	ال+صبح	 
@TheSyrian_Tweet	@ TheSyrian_Tweet	@TheSyrian_Tweet	 
الحياة	ال+حيا+ة	ال+حيا+ة	 
لكن	لكن	لكن	 
الكل	ال+كل	ال+كل	 
باب	باب	باب	 
قال	قال	قال	 
ايش	ايش	اي+ش	 
ف	ف	ف	 
:/	: /	:/	 
راسي	راسي	راس+ي	 
حالك	حال+ك	حالك	 
لحدا	ل+حدا	لحد+ا	 
زعلان	زعلان	زعلان	 
بيجي	بيجي	ب+يجي	 
بالك	بال+ك	بال+ك	 
ال	ال	ال	 
وحدة	وحد+ة	و+حد+ة	 
الدنيا	ال+دنيا	ال+دنيا	 
هههههههه	هههههههه	هههههههه	 
حاجة	حاج+ة	حاج+ة	 
لأنو	ل+أنو	لأن+و	 
طلع	طلع	طلع	 
ريت	ري+ت	ري+ت	 
@jory8080	@ jory8080	@jory8080	 
حد	حد	حد	 
حلو	حلو	حلو	 
الشعب	ال+شعب	ال+شعب	 
تفكر	تفكر	تفكر	 
احكي	احكي	احك+ي	 
انتو	انتو	انتو	 
بضحك	ب+ضحك	ب+ضحك	 
شفت	شفت	شفت	 
ومش	و+مش	و+مش	 
ومن	و+من	و+من	 
خلص	خلص	خلص	 
بتكون	ب+تكون	ب+تكون	 
صاير	صاير	صاير	 
علينا	علي+نا	علي+نا	 
ازا	ازا	ازا	 
منيح	منيح	منيح	 
فينا	في+نا	في+نا	 
كان	كان	كان	 
ارجع	ارجع	ارجع	 
كرمال	ك+رمال	كرمال	 
تاني	تاني	تاني	 
فولو	فولو	فولو	 
كون	كون	كون	 
حالي	حالي	حال+ي	 
عايشين	عايش+ين	عايش+ين	 
شهيد	شهيد	شهيد	 
؟؟	؟ ؟	؟؟	 
الواحد	ال+واحد	ال+واحد	 
مرة	مر+ة	مرة	 
امي	امي	امي	 
بحكي	ب+حكي	بح+كي	 
بضل	ب+ضل	ب+ضل	 
عندي	عند+ي	عند+ي	 
بكون	ب+كون	ب+كون	 
منك	من+ك	من+ك	 
يكون	يكون	يكون	 
الاردن	ال+اردن	ال+اردن	 
أنت	أنت	أنت	 
مسؤول	مسؤول	مسؤول	 
بنات	بن+ات	بنات	 
اسمه	اسم+ه	اسم+ه	 
فاهمين	فاهم+ين	فاهم+ين	 
بيلحقك	بيلحقك	ب+يلحق+ك	 
بعدين	بعد+ين	بعد+ين	 
كليب	كليب	كليب	 
ابو	ابو	ابو	 
ريتويت	ريتويت	ريتويت	 
شيء	شيء	شيء	 
بلبنان	ب+لبنان	ب+لبنان	 
عبالي	عبال+ي	ع+بالي	 
السوريين	ال+سوري+ين	ال+سوري+ين	 
وكلنا	و+كل+نا	و+كل+نا	 
ربنا	رب+نا	رب+نا	 
عاد	عاد	ع+اد	 
صاروا	صار+وا	صار+وا	 
عارف	عارف	عارف	 
سنة	سن+ة	سن+ة	 
لحتى	ل+حتى	ل+حتى	 
يزم	يزم	يزم	 
لكل	ل+كل	ل+كل	 
بفهمش	بفهمش	ب+فهم+ش	 
شوي	شوي	شوي	 
الحياه	ال+حياه	ال+حي+اه	 
-_-	- UNDERSCORE -	-_-	 
اسم	اسم	اسم	 
تنتهي	تنتهي	تنتهي	 
بالباص	ب+ال+باص	ب+ال+باص	 
ولاد	ولاد	ولاد	 
:))	: ) )	:))	 
...يا	. . . يا	...ي+ا	 
تلاقي	تلاقي	تلاقي	 
حبيبتي	حبيب+ت+ي	حبيب+تي	 
هههههههههههه	هههههههههههه	هههههههههههه	 
ميساء	ميساء	ميساء	 
وبعدين	و+بعد+ين	و+بعدين	 
شوية	شوي+ة	شوي+ة	 
النت	ال+نت	ال+نت	 
عيونك	عيون+ك	عيون+ك	 
#هديك_اللحظة	# هديكUNDERSCOREاللحظة	#هديك_اللحظ+ة	 
تقلي	تقلي	تقلي	 
بيعرف	ب+يعرف	ب+يعرف	 
اعمل	اعمل	اعمل	 
بقول	ب+قول	ب+قول	 
شب	شب	شب	 
يحكي	يحكي	يحكي	 
معه	مع+ه	مع+ه	 
#سوريا	# سوريا	#سوري+ا	 
البيت	ال+بيت	ال+بيت	 
خليني	خليني	خلي+ني	 
كانت	كان+ت	كان+ت	 
#نجم_الأردن	# نجمUNDERSCOREالأردن	#نجم_الأردن	 
يرحم	يرحم	يرحم	 
الحكي	ال+حكي	ال+حكي	 
بي	بي	بي	 
طير	طير	طير	 
حيوان	حيوان	حيوان	 
-.-	- . -	-.-	 
نحنا	نحن+ا	نحن+ا	 
حياتي	حيا+ت+ي	حياتي	 
احلا	احلا	احل+ا	 
هلأ	هلأ	ه+لأ	 
وأنا	و+أنا	و+أنا	 
،،	، ،	،،	 
إنك	إن+ك	إن+ك	 
تطلع	تطلع	تطلع	 
طاير	طاير	طاير	 
موت	موت	موت	 
اللبناني	ال+لبناني	ال+لبناني	 
التويتر	ال+تويتر	ال+تويتر	 
عالي	عالي	ع+الي	 
@BISHA929	@ BISHA929	@BISHA929	 
هدول	هدول	ه+دول	 
ومو	و+مو	و+مو	 
ولك	و+لك	و+لك	 
ولو	و+لو	و+لو	 
شخص	شخص	شخص	 
التاني	ال+تاني	ال+تاني	 
أحسن	أحسن	أحسن	 
عليها	علي+ها	علي+ها	 
عمرك	عمر+ك	عمر+ك	 
الجيش	ال+جيش	ال+جيش	 
ساعات	ساع+ات	ساع+ات	 
بصير	بصير	ب+صير	 
بالله	ب+الله	ب+الله	 
الشباب	ال+شباب	ال+شباب	 
....	. . . .	....	 
المدرسة	ال+مدرس+ة	ال+مدرس+ة	 
احسن	احسن	احسن	 
زمان	زمان	زمان	 
ضل	ضل	ضل	 
وهيدا	و+هيدا	و+هيد+ا	 
بين	بين	بين	 
شباب	شباب	شباب	 
#شي_مرة	# شيUNDERSCOREمرة	#شي_مر+ة	 
اكون	اكون	اكون	 
الارض	ال+ارض	ال+ارض	 
#نجم_الاردن	# نجمUNDERSCOREالاردن	#نجم_الاردن	 
كنا	كنا	كنا	 
حقيقة	حقيق+ة	حقيق+ة	 
غبي	غبي	غبي	 
ياه	يا+ه	ياه	 
تويتر	تويتر	تويتر	 
أهل	أهل	أهل	 
!!!!	! ! ! !	!!!!	 
عنده	عند+ه	عند+ه	 
بيد	بيد	ب+يد	 
إما	إما	إما	 
عاملين	عامل+ين	عامل+ين	 
هني	هني	هني	 
يللي	يللي	يللي	 
فوق	فوق	فوق	 
بتحكي	ب+تحكي	ب+تحكي	 
لأن	ل+أن	ل+أن	 
منو	منو	من+و	 
*	*	ذ	 
حكي	حكي	حكي	 
تروح	تروح	تروح	 
وتكون	و+تكون	و+تكون	 
يعملوا	يعمل+وا	يعمل+وا	 
ل	ل	ل	 
