,-_-,-,-,- _ -,,
,-_-,- UNDERSCORE -,-_-,- _ -,,
,-.-,- . -,-.-,- . -,,
,"-.-""","- . - ""","-.-""","- . - """,,
,",",",",",",",",,
,",,",", ,",,", ,",,
,،,،,،,،,,
,،،,، ،,،،,، ،,,
,،،،،,، ، ، ،,،،،،,، ، ، ،,,
,،،،،،،,، ، ، ، ، ،,،،،،،،,، ، ، ، ، ،,,
,؛),؛ ),؛),؛ ),,
,:,:,:,:,,
,:'(((,: ' ( ( (,:ء(((,: ' ( ( (,,
,":"")",": "" )",":"")",": "" )",,
,:((,: ( (,:((,: ( (,,
,:(((😕,: ( ( ( ? ?,:(((😕,: ( ( ( ? ?,,
,:),: ),:),: ),,
,:)),: ) ),:)),: ) ),,
,:/,: /,:/,: /,,
,:>,: >,:أ,: >,,
,:D,: D,:ض,: D,,
,:P,: P,:P,: P,,
,:p,: p,:ة,: p,,
,:Pp,: Pp,:Pة,: Pp,,
,!,!,!,!,,
,!!,! !,!!,! !,,
,!!!,! ! !,!!!,! ! !,,
,!!!!,! ! ! !,!!!!,! ! ! !,,
,"!!""","! ! ""","!!""","! ! """,,
,!',! ',!ء,! ',,
,؟,؟,؟,؟,,
,؟!,؟ !,؟!,؟ !,,
,؟؟,؟ ؟,؟؟,؟ ؟,,
,؟؟!!!,؟ ؟ ! ! !,؟؟!!!,؟ ؟ ! ! !,,
,؟؟؟,؟ ؟ ؟,؟؟؟,؟ ؟ ؟,,
,.,.,.,.,,
,.!,. !,.!,. !,,
,..,. .,..,. .,,
,..!,. . !,..!,. . !,,
,..!!,. . ! !,..!!,. . ! !,,
,..!!!!؟؟؟؟,. . ! ! ! ! ؟ ؟ ؟ ؟,..!!!!؟؟؟؟,. . ! ! ! ! ؟ ؟ ؟ ؟,,
,.....#ازمه,. . . . . # ازم+ه,.....#ازم+ه,. . . . . #ازمه,x,
,..لما,. . ل+ما,..لم+ا,. . لما,x,
,...,. . .,...,...,,
,…,…,…,…,,
,...هہہہہ,. . . ه ہ ہ ہ ہ,...هہہہہ,... هہہہہ,x,
,....,. . . .,....,....,,
,"""","""","""","""",,
,"""ترا",""" تر+ا","""تر+ا",""" ترا",x,
,"""@rwidaalrashed:",""" @ rwidaalrashed :","""@رودلرسهeد:","""@rwidaalrashed:",,
,(,(,(,(,,
,(حدنا),( حد+نا ),(حدنا),( حد+نا ),x,
,(حدا),( حد+ا ),(حدا),( حدا ),x,
,;),),),),,
,),),),),,
,@_hshatnawi,@ UNDERSCOREhshatnawi,@_hshatnawi,@_hshatnawi,,
,@12Naela,@ 12Naela,@12Naela,@12Naela,,
,@3yoosh94,@ 3yoosh94,@3yoosh94,@3yoosh94,,
,@7kiJelis,@ 7kiJelis,@7kiJelis,@7kiJelis,,
,@AboIsMail89,@ AboIsMail89,@AboIsMail89,@AboIsMail89,,
,@adelsamia,@ adelsamia,@adelsamia,@adelsamia,,
,@ahmadabuzannad,@ ahmadabuzannad,@ahmadabuzannad,@ahmadabuzannad,,
,@ahmedrubb,@ ahmedrubb,@ahmedrubb,@ahmedrubb,,
,@ali_khierbeck,@ aliUNDERSCOREkhierbeck,@ali_khierbeck,@ali_khierbeck,,
,@Alloushi2,@ Alloushi2,@Alloushi2,@Alloushi2,,
,@almadinafmsyria,@ almadinafmsyria,@almadinafmsyria,@almadinafmsyria,,
,@amoon_asmar,@ amoonUNDERSCOREasmar,@amoon_asmar,@amoon_asmar,,
