Word	POS
ليه	ليه/PART
لما	لما/PART
تحب	تحب/V
حد	حد/NOUN-MS
من	من/PREP
قلبك	قلب/NOUN-MS+ك/PRON
يطلع	يطلع/V
واطى	واطي/ADJ-MS
ليه	ليه/PART
لما	لما/PART
تلعب على واحد	تلعب/V على/PREP واحد/NOUN-MS
يطلع	يطلع/V
بيحبك	ب/PROG-PART+يحب/V+ك/PRON
ليه	ليه/PART
اللى	اللي/PRON
هيموت	ه/FUT-PART+يموت/V
عليك	على/PREP+ك/PRON
انت	إنت/PRON
مش	مش/PART
طايقه	طايق/ADJ-MS+ه/PRON
واللى	و/CONJ+اللي/PRON
هتموت	ه/FUT-PART+تموت/V
عليه	على/PREP+ه/PRON
مش	مش/PART
طايقك	طايق/ADJ-MS+ك/PRON
عجبت	عجب/V+ت/PRON
لك	ل/PREP+ك/PRON
يا	يا/PART
زمن	زمن/NOUN-MS
--------------------	-/PUNC
عارف	عارف/ADJ-MS
بيقولك ايه	ب/PROG-PART+يقول/V ل/PREP+ك/PRON إيه/PART
"	"/PUNC
إذا	إذا/PART
أخطأت	أخطأ/V+ت/PRON
فأحسن	ف/CONJ+أحسن/V
"	"/PUNC
..	./PUNC/.  PUNC
يعني	يعني/V
متعندش	ما/PART تعند/V+ش/NEG-PART
..	./PUNC/.  PUNC
و متسألش	و/CONJ+ما/PART تسأل/V+ش/NEG-PART
مين	من/PART
اللي	اللي/PRON
بيقولك	ب/PROG-PART+يقول/V ل/PREP+ك/PRON
.	./PUNC
--------------------	-/PUNC
الحمد	ال/DET+حمد/NOUN-MS
لله	ل/PREP+الله/NOUN-MS
يا	يا/PART
جدعان	جدعان/NOUN-MP
الفرسان	ال/DET+فرسان/NOUN-MP
اللي	اللي/PRON
اتمسكوا	اتمسك/V+وا/PRON
عند	عند/NOUN-MS
ستاد	ستاد/NOUN-MS
القاهرة	ال/DET+قاهر/NOUN-FS+ة/NSUFF
خدوا	خد/V+وا/PRON
اخلاء	إخلاء/NOUN-MS
سبيل	سبيل/NOUN-MS
#	#/HASH
ربنا	رب/NOUN-MS+نا/PRON
_	_/PUNC
كبير	كبير/ADJ-MS
..	./PUNC/.  PUNC
بقالنا	بقى/V ل/PREP+نا/PRON
7	7/NUM
سنين	سن/NOUN-FP+ين/NSUFF
ظلم	ظلم/NOUN-MS
و قهر	و/CONJ+قهر/NOUN-MS
ده	ده/PRON
يرضي	يرضي/V
مين	مين/PART
؟؟؟؟	؟/PUNC ؟/PUNC ؟/PUNC ؟/PUNC
#	#/HASH
الحمد	ال/DET+حمد/NOUN-MS
_	_/PUNC
لله	ل/PREP+الله/NOUN-MS
--------------------	-/PUNC
بحس	ب/PROG-PART+أحس/V
بشخصيتي	ب/PREP+شخصي/NOUN-FS+ت/NSUFF+ي/PRON
القوية	ال/DET+قوي/ADJ-FS+ة/NSUFF
لما	لما/PART
اقول	أقول/V
لاخويا	ل/PREP+أخو/NOUN-MS+يا/PRON
اعمل	اعمل/V
حاجة	حاج/NOUN-FS+ة/NSUFF
..	./PUNC ./PUNC
و يعملها	و/CONJ+يعمل/V+ها/PRON
..	./PUNC ./PUNC
حتي	حتى/PART
لو	لو/PART
رخم	رخم/ADJ-MS
و قال	و/CONJ+قال/V
لأ	لا/PART
..	./PUNC/.  PUNC
بحس	ب/PROG-PART+أحس/V
اني	إن/PART+ي/PRON
شخصية	شخصي/NOUN-FS+ة/NSUFF
كدا	كده/ADV
و بتسمع	و/CONJ+ب/PROG-PART+تسمع/V
كلامي	كلام/NOUN-MS+ي/PRON
^_^	^_^/EMOT
--------------------	-/PUNC
@ahmedabodsheesh	@ahmedabodsheesh/MENTION
يا	يا/PART
باشا	باشا/NOUN-MS
دي	دي/PRON
مش	مش/PART
محتاجه	محتاج/ADJ-FP+ة/NSUFF
دراسه	دراس/NOUN-FS+ة/NSUFF
دي	دي/PRON
بتبقي	ب/PROG-PART+تبقى/V
موهبه	موهب/NOUN-FS+ة/NSUFF
عندك	عند/NOUN-MS+ك/PRON
مثلا	مثلا/ADV
عيلاء	عيلاء/NOUN-MS
صادق	صادق/NOUN-MS
و صفوت	و/CONJ+صفوت/NOUN-MS
حجازي	حجازي/NOUN-MS
دول	دول/PRON
تفوقوا	تفوق/V+وا/PRON
علي	على/PREP
استاذهم	أستاذ/NOUN-MS+هم/PRON
صفوت	صفوت/NOUN-MS
الشريف	ال/DET+شريف/NOUN-MS
كبيرهم	كبير/ADJ-MS+هم/PRON
--------------------	-/PUNC
و هو في	و/CONJ+هو/PRON في/PREP+ه/PRON
محامين	محام/NOUN-MP+ين/NSUFF
هيعبّرونا	ه/FUT-PART+يعبر/V+وا/PRON+نا/PRON
بعد	بعد/NOUN-MS
اعتقال	اعتقال/NOUN-MS
وتهديد	و/CONJ+تهديد/NOUN-MS
المحامين	ال/DET+محام/NOUN-MP+ين/NSUFF
اللي	اللي/PRON
بيدافعوا	ب/PROG-PART+يدافع/V+وا/PRON
عن	عن/PREP
المظلومين	ال/DET+مظلوم/NOUN-MP+ين/NSUFF
؟؟؟	؟/PUNC ؟/PUNC ؟/PUNC
ده غير	ده/PRON غير/NOUN-MS
المحامي	ال/DET+محامي/NOUN-MS
اللي	اللي/PRON
قتلوا	قتل/V+وا/PRON
والدته	والد/NOUN-FS+ة/NSUFF+ه/PRON
!	!/PUNC
@mohamedwaked@ANohan	@mohamedwaked@ANohan/MENTION
--------------------	-/PUNC
معظم	معظم/NOUN-MS
الحاجات	ال/DET+حاج/NOUN-FP+ات/NSUFF
اللى	اللي/PRON
مبنقدرش	ما/PART ب/PROG-PART+نقدر/V+ش/NEG-PART
نحكيها	نحكي/V+ها/PRON
بنيجى	ب/PROG-PART+نيجي/V
نكتبها	نكتب/V+ها/PRON
هنا	هنا/ADV
على	على/PREP
الأقل	ال/DET+أقل/ADJ-MS
بتخفف	ب/PROG-PART+تخفف/V
عنا	عن/PREP+نا/PRON
شوية	شوي/NOUN-FS+ة/NSUFF
.	./PUNC
--------------------	-/PUNC
احنا	إحنا/PRON
بنزعل	ب/PROG-PART+نزعل/V
لما	لما/PART
ربنا	رب/NOUN-MS+نا/PRON
يبتلينا	يبتلي/V+نا/PRON
أو	أو/CONJ
تحصلنا	تحصل/V ل/PREP+نا/PRON
حاجه وحشه	حاج/NOUN-FS+ة/NSUFF وحش/NOUN-FS+ة/NSUFF
!	!/PUNC
مع	مع/PART
ان	إن/PART
ربنا	رب/NOUN-MS+نا/PRON
إذا	إذا/PART
حب	حب/V
عبد	عبد/NOUN-MS
ابتلاه	ابتلى/V+ه/PRON
لتكفير	ل/PREP+تكفير/NOUN-MS
عن	عن/PREP
ذنوبه	ذنوب/NOUN-FP+ه/PRON
-	-/PUNC
يعني	يعني/V
خاف	خاف/V
لو	لو/PART
ربنا	رب/NOUN-MS+نا/PRON
مش	مش/PART
ابتلاك	ابتلى/V+ك/PRON
.	./PUNC
--------------------	-/PUNC
(	(/PUNC
6	6/NUM
)	)/PUNC
مش	مش/PART
عارف	عارف/ADJ-MS
ليه	ليه/PART
بس	بس/ADV
الكلمة	ال/DET+كلم/NOUN-FS+ة/NSUFF
اللى	اللي/PRON
عمرك	عمر/NOUN-MS+ك/PRON
ما	ما/PART
هتندم	ه/FUT-PART+تندم/V
عليها	على/PREP+ها/PRON
الكلمة	ال/DET+كلم/NOUN-FS+ة/NSUFF
اللى	اللي/PRON
أنت	أنت/PRON
لسة	لسة/ADV
مقولتهاش	ما/PART قل/V+ت/PRON+ها/PRON+ش/NEG-PART
...	./PUNC ./PUNC ./PUNC
بس للأسف	بس/PART ل/PREP+ال/DET+أسف/NOUN-MS
لازم	لازم/ADJ-MS
يجى	ييجي/V
عليك	على/PREP+ك/PRON
وقت	وقت/NOUN-MS
و تقولها	و/CONJ+تقول/V+ها/PRON
--------------------	-/PUNC
اضحك	اضحك/V
وبلاش	و/CONJ+بلاش/PART
التكشيرة	ال/DET+تكشير/NOUN-FS+ة/NSUFF
تنسيك	تنسي/V+ك/PRON
شكل	شكل/NOUN-MS
الضحكة	ال/DET+ضحك/NOUN-FS+ة/NSUFF
وشك	وش/NOUN-MS+ك/PRON
هيكرمش	ه/FUT-PART+يكرمش/V
عالفاضى	ع/PREP ال/DET+فاضي/NOUN-MS
وهتعجز	و/CONJ+ه/FUT-PART+تعجز/V
بدرى	بدري/NOUN-MS
خليك	خل/V+ي/PRON+ك/PRON
ناصح	ناصح/ADJ-MS
وارمى	و/CONJ+ارم/V+ي/PRON
همومك	هموم/NOUN-FP+ك/PRON
ورا	ورا/NOUN-MS
ضهرك	ضهر/NOUN-MS+ك/PRON
وافرح	و/CONJ+افرح/V
دى الايام	دي/PRON ال/DET+أيام/NOUN-FP
بتفوت	ب/PROG-PART+تفوت/V
وتعدى	و/CONJ+تعدي/V
والعمر	و/CONJ+ال/DET+عمر/NOUN-MS
بيجرى	ب/PROG-PART+يجري/V
--------------------	-/PUNC
مش	مش/PART
معنى	معنى/NOUN-MS
ان	إن/PART
حد	حد/NOUN-MS
بيضحك	ب/PROG-PART+يضحك/V
كتير	كتير/ADV
يبقى	يبقى/V
سعيد	سعيد/ADJ-MS
يمكن	يمكن/V
بيضحك	ب/PROG-PART+يضحك/V
كتير	كتير/ADV
من	من/PREP
همه	هم/NOUN-MS+ه/PRON
الكبير	ال/DET+كبير/ADJ-MS
بيضحك	ب/PROG-PART+يضحك/V
عشان	علشان/PART
يبعد	يبعد/V
عن	عن/PREP
حزنه	حزن/NOUN-MS+ه/PRON
ويعمل نفسه	و/CONJ+يعمل/V نفس/NOUN-FS+ه/PRON
ناسيه	ناسي/ADJ-MS+ه/PRON
--------------------	-/PUNC
الاول	ال/DET+الأول/ADJ-MS
كنا	كن/V+نا/PRON
بعد ماحد	بعد/NOUN-MS ما/PART حد/NOUN-MS
ياخد	يأخد/V
اخلاء	إخلاء/NOUN-MS
سبيل	سبيل/NOUN-MS
او	أو/CONJ
براءة	براء/NOUN-FS+ة/NSUFF
ندعي	ندعي/V
ان	إن/PART
النيابة	ال/DET+نياب/NOUN-FS+ة/NSUFF
ماتستأنفش	ما/PART تستأنف/V+ش/NEG-PART
دلوقتي	دلوقتي/ADV
بندعي	ب/PROG-PART+ندعي/V
كمان	كمان/ADV
ان	إن/PART
امن	أمن/NOUN-MS
الدولة	ال/DET+دول/NOUN-FS+ة/NSUFF
ما	ما/PART
ياخدوهوش	يأخد/V+وا/PRON+هو/PRON+ش/NEG-PART
#	#/HASH
سيسي	سيسي/NOUN-MS
_	_/PUNC
