,َ,,,,,
,_,UNDERSCORE,_,,_,
,-,-,-,,-,
,-ابشع-,- ابشع -,- ابشع -,,ابشع,
x,-الك,- الك,-ال+ك,,- ال+ك,
,-ماشاءالله-,- ماشاءالله -,-ماشاءالله-,,ما شاء الله,
,",",",",",",,",",
,،,،,،,,،,
,،،,، ،,،،,,،،,
,،،،نبي,، ، ، نبي,،،،نب+ي,,نبي,
,،لهفته,، ل+هفت+ه,،لهف+ت+ه,,ل+هفت+ه,
,،نطلب,، نطلب,،نطلب,,نطلب,
,،والعمر,، و+ال+عمر,،والعمر,,و+ال+عمر,
,،ومن,، و+من,،ومن,,و+من,
,؛,؛,؛,,؛,
,:,:,:,,:,
,":""((((((",": "" ( ( ( ( ( (",":""((((((",,":""((((((",
,":"")",": "" )",":"")",,":"")",
,:(,: (,:(,,:(,
,:(?,: ( ?,:(?,,:(?,
,:),: ),:),,:),
,:).,: ) .,:).,,:).,
,:p,: p,:ة,,:p,
x,:باقي,: باقي,:باق+ي,,باقي,
,:ساكـت,: ساكت,:ساك+ت,,ساكت,
,:وين,: وين,:و+ين,,وين,
,!,!,!,,!,
,!!,! !,!!,,!!,
,!!!,! ! !,!!!,,!!!,
,!!!!,! ! ! !,!!!!,,!!!!,
,!!!!!!!!!؟!!؟,! ! ! ! ! ! ! ! ! ؟ ! ! ؟,!!!!!!!!!؟!!؟,,!!!!!!!!!؟!!؟,
,!؟,! ؟,!؟,,!؟,
,!*,! *,!ذ,,!*,
,?,?,?,,?,
,?!,? !,?!,,?!,
,??,? ?,??,,??,
,??:,? ? :,??:,,??:,
,??!!؟,? ? ! ! ؟,??!!؟,,??!!؟,
,????,? ? ? ?,????,,????,
,?????,? ? ? ? ?,?????,,?????,
,??????,? ? ? ? ? ?,??????,,??????,
,????????,? ? ? ? ? ? ? ?,????????,,????????,
,????????!,? ? ? ? ? ? ? ? !,????????!,,????????!,
,????????????,? ? ? ? ? ? ? ? ? ? ? ?,????????????,,????????????,
,????????~,? ? ? ? ? ? ? ? ~,????????,,????????~,
,????؟,? ? ? ? ؟,????؟,,????؟,
,"????؟""","? ? ? ? ؟ ""","????؟""",,"????؟""",
,????...,? ? ? ? . . .,????...,,????...,
,"????""","? ? ? ? ""","????""",,"????""",
,???.,? ? ? .,???.,,???.,
,??؟,? ? ؟,??؟,,??؟,
,??؟!!,? ? ؟ ! !,??؟!!,,??؟!!,
,??.,? ? .,??.,,??.,
,??.@contessa_7,? ? . @ contessaUNDERSCORE7,??.@cنتeسس_7,,??. @contessa_7,
,"??""","? ? ""","??""",,"??""",
,??~o),? ? ~ o ),??),,??~o),
,?؟,? ؟,?؟,,?؟,
,?',? ',?ء,,?',
,"?""","? ""","?""",,"?""",
,?”,? ”,?”,,?”,
,?اللي,? اللي,?الل+ي,,اللي,
x,?درون,تدر+ون,تدرون,,تدر+ون,
,?ن,? ن,?ن,,?ن,
,؟,؟,؟,,؟,
,؟!,؟ !,؟!,,؟!,
,؟؟,؟ ؟,؟؟,,؟؟,
,؟؟!!,؟ ؟ ! !,؟؟!!,,؟؟!!,
,؟شوفهم,؟ شوف+هم,؟شوف+هم,,شوف+هم,
,.,.,.,,.,
,.!,. !,.!,,.!,
,..,. .,..,,..,
,..!,. . !,..!,,..!,
,...,. . .,...,,...,
,…,…,…,,…,
,...??,. . . ? ?,...??,,...??,
,...؟,. . . ؟,...؟,,...؟,
,.....,. . . . .,.....,,.....,
