من	من	من	 
ما	ما	ما	 
اللي	اللي	اللي	 
و	و	و	 
على	على	على	 
في	في	في	 
لا	لا	لا	 
??	? ?	??	 
بس	بس	بس	 
،	،	،	 
!	!	!	 
كل	كل	كل	 
..	. .	..	 
؟	؟	؟	 
.	.	.	 
شي	شي	شي	 
الله	الله	الله	 
انا	انا	انا	 
مو	مو	مو	 
يا	يا	يا	 
ولا	و+لا	و+لا	 
عشان	عشان	عشان	 
عن	عن	عن	 
?	?	?	 
اذا	اذ+ا	اذا	 
:	:	:	 
الناس	ال+ناس	ال+ناس	 
ان	ان	ان	 
لي	لي	لي	 
لو	لو	لو	 
لك	ل+ك	ل+ك	 
اني	اني	ان+ي	 
م	م	م	 
وش	وش	وش	 
لما	ل+ما	لما	 
يوم	يوم	يوم	 
مع	مع	مع	 
الي	الي	الي	 
ترا	تر+ا	تر+ا	 
والله	و+الله	و+الله	 
راح	راح	راح	 
...	. . .	...	 
ليش	ل+يش	ل+ي+ش	 
يعني	يعني	يعني	 
بـ	ب	ب	 
أنا	أنا	أنا	 
وين	وين	وين	 
حتى	حتى	حتى	 
كان	كان	كان	 
????	? ? ? ?	????	 
ترى	ترى	ترى	 
واحد	واحد	واحد	 
اي	اي	اي	 
عادي	عادي	عادي	 
هذا	هذا	هذا	 
شخص	شخص	شخص	 
فيه	في+ه	في+ه	 
!!	! !	!!	 
مثل	مثل	مثل	 
""""	""""	""""	 
بعد	بعد	بعد	 
شعور	شعور	شعور	 
هو	هو	هو	 
انت	انت	انت	 
كيف	كيف	كيف	 
لكن	لكن	لكن	 
مب	مب	مب	 
او	او	او	 
??:	? ? :	??:	 
غير	غير	غير	 
بعض	بعض	بعض	 
له	ل+ه	ل+ه	 
اكثر	اكثر	اكثر	 
انه	ان+ه	ان+ه	 
عليه	علي+ه	علي+ه	 
-	-	-	 
كنت	كن+ت	كن+ت	 
شوي	شوي	شوي	 
قاعد	قاعد	قاعد	 
مدري	مدري	مدري	 
قلبي	قلب+ي	قلب+ي	 
كذا	كذا	كذا	 
ممكن	ممكن	ممكن	 
شفت	شفت	شفت	 
ع	ع	ع	 
وانا	وان+ا	و+انا	 
يصير	يصير	يصير	 
نفس	نفس	نفس	 
قبل	قبل	قبل	 
احب	احب	احب	 
(	(	(	 
بين	بين	بين	 
)	)	)	 
وهو	و+هو	و+هو	 
انك	انك	ان+ك	 
ابي	ابي	ابي	 
الا	الا	الا	 
قال	قال	قال	 
ي	ي	ي	 
يطلع	يطلع	يطلع	 
إن	إن	إن	 
فيني	فين+ي	في+ني	 
صباح	صباح	صباح	 
فيك	في+ك	في+ك	 
هذي	هذي	هذي	 
إذا	إذا	إذا	 
اليوم	ال+يوم	ال+يوم	 
ب	ب	ب	 
أنت	أنت	أنت	 
يكون	يكون	يكون	 
عند	عند	عند	 
ليه	لي+ه	ليه	 
~	~		 
مني	من+ي	من+ي	 
احد	احد	احد	 
لـ	ل	ل	 
يقول	يقول	يقول	 
‹?›	‹ ? ›	‹?›	 
شيء	شيء	شيء	 
لازم	لازم	لازم	 
عاد	عاد	ع+اد	 
/	/	/	 
علي	علي	علي	 
ف	ف	ف	 
صوت	صوت	صوت	 
تجي	تجي	تجي	 
نفسك	نفس+ك	نفس+ك	 
زين	زين	زين	 
أحد	أحد	أحد	 
قلت	قل+ت	قل+ت	 
^	^	^	 
الدنيا	ال+دنيا	ال+دنيا	 
طيب	طيب	طيب	 
واللي	و+اللي	و+اللي	 
النوم	ال+نوم	ال+نوم	 
حياتي	حيا+ت+ي	حياتي	 
يبي	يبي	يبي	 
الحين	ال+حين	ال+حين	 
،،	، ،	،،	 
انتي	انتي	انتي	 
يقولون	يقول+ون	يقولون	 
وانت	وان+ت	و+انت	 
جالس	جالس	جالس	 
إلا	إلا	إلا	 
ياخي	ياخي	ياخي	 
بيه	بيه	بيه	 
منه	من+ه	من+ه	 
لآ	لآ	لآ	 
راعية	راعي+ة	راعي+ة	 
وتقول	و+تقول	و+تقول	 
خلاص	خلاص	خلاص	 
ياللي	ياللي	ياللي	 
طول	طول	طول	 
الخير	ال+خير	ال+خير	 
قد	قد	قد	 
بنى	بنى	بنى	 
حلو	حلو	حلو	 
??????	? ? ? ? ? ?	??????	 
"""?"	""" ?"	"""?"	 
شوف	شوف	شوف	 
قادر	قادر	قادر	 
ودي	ودي	و+دي	 
معك	مع+ك	مع+ك	 
كلنا	كل+نا	كل+نا	 
تويتر	تويتر	تويتر	 
داخلي	داخلي	داخل+ي	 
ربي	رب+ي	ربي	 
ناس	ناس	ناس	 
